video_name,channel_name,channel_id,date,region_code,category_Id,category,view,like,comment,channel_subscribers,channel_videoCount,popularity_%,engagement_%,growth_%,duration(sec),country,country_code
Georges Wassouf - Byetkallem Aalaya [Official Music Video] (2022) / جورج وسوف - بيتكلّم عليّا,Georges Wassouf,UCRpVH-l7I3j1bZHcrW1c-dg,2022-11-26,DZ,10,Music,1769644,63800.0,3955.0,983000,30,3.61,0.22,180.02,390,Algeria,DZA
رونالدو غاضب جداً 😡 وهذا هو وحش الكرة البرازيلية 🇧🇷,محمد عدنان Mohamad Adnan,UCxUPU7lI249SW_j5WgByJRA,2022-11-29,DZ,17,Sports,1465225,250028.0,5492.0,6060000,213,17.06,0.37,24.18,556,Algeria,DZA
[2022 MAMA] IVE&Kep1er&NMIXX&LESSERAFIM&NewJeans-ELEVEN+WADADA+O.O+FEARLESS+HypeBoy | Mnet 221129 방송,Mnet K-POP,UCbD8EppRX3ZwJSou-TVo90A,2022-11-29,DZ,20,Gaming,4851819,273145.0,10330.0,20000000,29735,5.63,0.21,24.26,309,Algeria,DZA
اخيرا خطبت 💍,Feras Abo Shaar فراس ابوشعر,UCH_TH3kxVEwHZ_t0fG4iCGQ,2022-11-28,DZ,24,Entertainment,587838,38307.0,1338.0,259000,56,6.52,0.23,226.96,707,Algeria,DZA
ماين كرافت : تحدي الهروب والاختباء مع رانيا #3 Minecraft,مستر جيجي 2 Mr GG,UCmEu2PmGIf766jQm_5I0ZvQ,2022-11-30,DZ,20,Gaming,157933,10359.0,222.0,314000,38,6.56,0.14,50.3,2122,Algeria,DZA
كبرت عيلتنا ❤️ اخيراً اتقدم لها 💍,Ziad & Sara زياد و سارة,UCGsO2WD0ub_IIgnazwZ-AnA,2022-11-28,DZ,22,People & Blogs,636902,42942.0,1236.0,1400000,101,6.74,0.19,45.49,954,Algeria,DZA
ليه قطر هتفكك الملاعب بعد انتهاء كأس العالم؟,عشوائيات,UCe1m3ZH68Q8314yqulWHTcw,2022-11-28,DZ,27,Education,502970,21423.0,679.0,4400000,915,4.26,0.13,11.43,507,Algeria,DZA
الكورة مع السلامة | الحلقة الثانية - كولومبيا 🇨🇴,Da7ee7 - الدحيح,UCqW7G8SmyeEeQYzLOk5tdSg,2022-11-29,DZ,28,Science & Technology,372223,38760.0,1323.0,1530000,42,10.41,0.36,24.33,1610,Algeria,DZA
وأخيرا حفل سبوع ولدي👶🏻أول ضهور لولدنا جاد في القناة 🧿(عقيقة إبني❤️),HK أشكا,UCOGV4pXzppMWNn1ezp-Zh7g,2022-11-29,DZ,24,Entertainment,331271,21020.0,3429.0,748000,191,6.35,1.04,44.29,1183,Algeria,DZA
اجمل يوم بحياتي في بغداد من قطر,Noor Stars,UChOPyo-uWLVi5uO53mSBX-w,2022-11-28,DZ,24,Entertainment,533777,42898.0,1736.0,19700000,648,8.04,0.33,2.71,877,Algeria,DZA
مقطع الفيس كام !,ميف - Meev,UCh7rXgsIWJXWuPveUlJ6aRg,2022-11-29,DZ,25,News & Politics,207750,36543.0,4294.0,1050000,530,17.59,2.07,19.79,232,Algeria,DZA
جربت اغرب حيل تجميلية على تيك توك | ماتوقعت الي صار😭,Asoo اسو,UCTLYhp6mZAJQaVI4mkfuVuw,2022-11-29,DZ,24,Entertainment,227446,27354.0,1609.0,4730000,240,12.03,0.71,4.81,884,Algeria,DZA
الكورة مع السلامة | الحلقة الأولى - البرازيل 🇧🇷,Da7ee7 - الدحيح,UCqW7G8SmyeEeQYzLOk5tdSg,2022-11-26,DZ,28,Science & Technology,1159273,99331.0,3058.0,1530000,42,8.57,0.26,75.77,1458,Algeria,DZA
[2022 MAMA] JEON SOMI X LEEJUNG LEE - Worldwide Fans' Choice 후보곡 | Mnet 221129 방송,Mnet K-POP,UCbD8EppRX3ZwJSou-TVo90A,2022-11-29,DZ,20,Gaming,1727023,98306.0,2742.0,20000000,29735,5.69,0.16,8.64,386,Algeria,DZA
حكايا باب الحارة : العكيد معتز ينتقم لسعاد خانوم و حزن أبو عصان ! وائل شرف,عاج للانتاج AJ Clips,UCuIaoml7UOc79_FFav70Wjg,2022-11-28,DZ,22,People & Blogs,244235,2377.0,47.0,480000,879,0.97,0.02,50.88,1086,Algeria,DZA
أنا مشجع مغربي في كأس العالم 🇲🇦 #عمر_يجرب,عمر فاروق Omar Farooq,UC7lfpgPpjx7YvuE12_UcGrg,2022-11-28,DZ,22,People & Blogs,435764,35352.0,1081.0,5330000,233,8.11,0.25,8.18,828,Algeria,DZA
احتفال مغربي في قلب باريس | 🚓 😱 الشرطة جات 🇲🇦💪🏼,Hassan Safwat حسن صفوت,UCdWpCn7QcMTAuEnjqHtyfZQ,2022-11-28,DZ,19,Travel & Events,200508,5972.0,769.0,35700,64,2.98,0.38,561.65,517,Algeria,DZA
نطيت من فوق طيارة، مرعب جداً | تحدّي ال ٢ مليون,Ana Beeko,UCk0XvmcUD1_LAZ5u66Xgc9w,2022-11-28,DZ,24,Entertainment,334349,25934.0,1799.0,2040000,144,7.76,0.54,16.39,1398,Algeria,DZA
المغرب إلى نصف نهائي كأس العالم ؟ 🔥🇲🇦,محمد عدنان Mohamad Adnan,UCxUPU7lI249SW_j5WgByJRA,2022-11-28,DZ,17,Sports,2002775,348810.0,7427.0,6060000,213,17.42,0.37,33.05,684,Algeria,DZA
Mocci - Talet Lghiba (Official Lyrics Music video),Mocci,UCQucSr36Vr3JqdiB1uUNi0w,2022-11-25,DZ,10,Music,1639785,67395.0,2415.0,748000,23,4.11,0.15,219.22,211,Algeria,DZA
