id,video_name,channel_name,channel_id,date,duration,region_code,region_name,category,statistics,channel_stat
44,كواليس مباراة السعودية و الأرجنتين | 22 نوفمبر 2022 يوم لا يُنسى,المنتخب السعودي,UCSSHK4M_OXOCtrAqbgvUHnw,2022-11-24T19:56:10Z,PT9M59S,AE,United Arab Emirates,17,"{'viewCount': '2452999', 'likeCount': '87959', 'favoriteCount': '0', 'commentCount': '5617'}","{'viewCount': '10408636', 'subscriberCount': '117000', 'hiddenSubscriberCount': False, 'videoCount': '106'}"
45,Scoring 1 AMAZING Goal With Every World Cup Ball (1930-2022),ChrisMD,UCQ-YJstgVdAiCT52TiBWDbg,2022-11-25T15:00:10Z,PT27M43S,AE,United Arab Emirates,24,"{'viewCount': '2633277', 'likeCount': '122602', 'favoriteCount': '0', 'commentCount': '1911'}","{'viewCount': '1406042515', 'subscriberCount': '5700000', 'hiddenSubscriberCount': False, 'videoCount': '492'}"
46,Dreamers - Qatar 2022™ Official Soundtrack | أغنية قطر ٢٠٢٢ الرسمية دريمرز - الحالمون,Qatar2022,UCGr_NBOWno4FyhHY6gWeAng,2022-11-22T16:34:39Z,PT4M16S,AE,United Arab Emirates,17,"{'viewCount': '5430382', 'likeCount': '35549', 'favoriteCount': '0', 'commentCount': '1104'}","{'viewCount': '155519666', 'subscriberCount': '346000', 'hiddenSubscriberCount': False, 'videoCount': '746'}"
47,امونج اس ولكن في كأس العالم 😍🔥!! (مود كأس العالم الاسطوري😳!),SHoNgxBоNg,UC5hnxbraFmMPxv63U4hCwTQ,2022-11-26T15:30:11Z,PT20M26S,AE,United Arab Emirates,20,"{'viewCount': '1164861', 'likeCount': '125697', 'favoriteCount': '0', 'commentCount': '2946'}","{'viewCount': '1277447008', 'subscriberCount': '6000000', 'hiddenSubscriberCount': False, 'videoCount': '546'}"
48,حياة عيلتنا: سالي المظلومة,Our Family Life حياة عيلتنا,UCAU8JhQDfpRsb2GhtIXp_cw,2022-11-25T08:00:07Z,PT6M15S,AE,United Arab Emirates,24,"{'viewCount': '641775', 'likeCount': '22323', 'favoriteCount': '0', 'commentCount': '835'}","{'viewCount': '544238971', 'subscriberCount': '1930000', 'hiddenSubscriberCount': False, 'videoCount': '174'}"
49,بغيت حياتك : الخميس 24 نونبر 2022,2MTV,UClozwh5URilIQpDFeXch8qw,2022-11-24T22:00:20Z,PT56M17S,AE,United Arab Emirates,24,"{'viewCount': '1291559', 'likeCount': '15418', 'favoriteCount': '0', 'commentCount': '0'}","{'viewCount': '3490713175', 'subscriberCount': '7430000', 'hiddenSubscriberCount': False, 'videoCount': '19081'}"
50,تحدي السقوط في الماء ( لك 3 ثواني للنجاة ) !!,Saud Brothers,UCVXFRM2jUeYyrp2Y9laB8WA,2022-11-24T11:29:13Z,PT11M32S,AE,United Arab Emirates,22,"{'viewCount': '1599202', 'likeCount': '90325', 'favoriteCount': '0', 'commentCount': '1460'}","{'viewCount': '1286596036', 'subscriberCount': '6980000', 'hiddenSubscriberCount': False, 'videoCount': '186'}"
51,تحدي الثلاثين نسخة كأس العالم|كلاسيكو عبدالله النعيمي ومحمد سهيل 🔥,M12 ALFOUZAN - قدم الكرة,UCqe2V_eejw-b5SeOw63TQNw,2022-11-30T10:00:04Z,PT28M42S,BH,Bahrain,17,"{'viewCount': '282450', 'likeCount': '44190', 'favoriteCount': '0', 'commentCount': '667'}","{'viewCount': '70894383', 'subscriberCount': '1120000', 'hiddenSubscriberCount': False, 'videoCount': '65'}"
52,أنا مشجع مغربي في كأس العالم 🇲🇦 #عمر_يجرب,عمر فاروق Omar Farooq,UC7lfpgPpjx7YvuE12_UcGrg,2022-11-28T21:31:51Z,PT13M48S,BH,Bahrain,22,"{'viewCount': '435764', 'likeCount': '35352', 'favoriteCount': '0', 'commentCount': '1081'}","{'viewCount': '631991962', 'subscriberCount': '5330000', 'hiddenSubscriberCount': False, 'videoCount': '233'}"
53,اغرب لعبة غميضة في بيتي | اكتشفنا اماكن جديدة 😱,Narins Beauty,UCWXYdNyGX01rnTB-tQci8JQ,2022-11-29T15:26:20Z,PT11M58S,BH,Bahrain,24,"{'viewCount': '987309', 'likeCount': '76089', 'favoriteCount': '0', 'commentCount': '4627'}","{'viewCount': '2115185041', 'subscriberCount': '13700000', 'hiddenSubscriberCount': False, 'videoCount': '418'}"
54,ملخص مباراة البرتغال والأوروغواي - البرتغال تهزم أوروغواي وتبلغ ثمن النهائي,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-28T21:28:44Z,PT4M56S,BH,Bahrain,17,"{'viewCount': '2581021', 'likeCount': '49702', 'favoriteCount': '0', 'commentCount': '1324'}","{'viewCount': '662059394', 'subscriberCount': '8500000', 'hiddenSubscriberCount': False, 'videoCount': '3913'}"
